*Line, ����Ͽ�糧~ĵ����500kV��·����,SZJ
*Parts,18
*Part, Head, 1,     SZJ双回路直线转角塔右�?      S2701S-T0307-01
*Node,56
         1,   1442.857143,   1442.857143,  58690.476190
      77,       2,      35,     -0.000000,     -0.000000,     -1.000000,  Q345,     L45x4
      78,      35,      28,     -0.000000,     -0.000000,     -1.000000,  Q345,     L45x4
      79,      38,      39,      0.205402,      0.000000,      0.978678,  Q345,     L90x8
      80,      39,      40,      0.205402,      0.000000,      0.978678,  Q345,     L90x8
      81,      40,      37,      0.205402,      0.000000,      0.978678,  Q345,     L90x8
      82,      36,      41,      0.205402,      0.000000,      0.978678,  Q345,    L125x8
      83,      41,      38,      0.205402,      0.000000,      0.978678,  Q345,    L125x8
      84,       8,      42,      0.205402,      0.000000,      0.978678,  Q345,   L160x16
      85,      42,      37,      0.205402,      0.000000,      0.978678,  Q345,   L160x16
      86,      37,       6,     -0.205402,     -0.000000,     -0.978678,  Q345,     L50x5
      87,      40,      43,      0.205402,      0.000000,      0.978678,  Q345,     L50x5
      88,      43,       8,      0.205402,      0.000000,      0.978678,  Q345,     L50x5
      89,      44,      42,      0.205402,      0.000000,      0.978678,  Q345,     L63x5
      90,       6,      44,      0.205402,      0.000000,      0.978678,  Q345,   L160x16
      91,      44,      40,      0.205402,      0.000000,      0.978678,  Q345,   L160x16
      92,      15,      40,     -0.205402,     -0.000000,     -0.978678,  Q345,     L50x4
      93,      39,      45,      0.205402,      0.000000,      0.978678,  Q345,     L50x4
      94,      45,       6,      0.205402,      0.000000,      0.978678,  Q345,     L50x4
      95,       4,      39,     -0.205402,     -0.000000,     -0.978678,  Q345,     L45x4
      96,      38,      46,      0.205402,      0.000000,      0.978678,  Q345,     L45x4
      97,      46,      15,      0.205402,      0.000000,      0.978678,  Q345,     L45x4
      98,       4,      38,      0.205402,      0.000000,      0.978678,  Q345,     L56x5
      99,      14,      38,     -0.205402,     -0.000000,     -0.978678,  Q345,     L56x5
     100,      41,      47,      0.205402,      0.000000,      0.978678,  Q345,     L56x5
     101,      47,       4,      0.205402,      0.000000,      0.978678,  Q345,     L56x5
     102,       1,      41,     -0.205402,     -0.000000,     -0.978678,  Q345,     L50x5
     103,      36,      48,      0.205402,      0.000000,      0.978678,  Q345,     L50x5
     104,      48,      14,      0.205402,      0.000000,      0.978678,  Q345,     L50x5
     105,       9,      37,     -0.876216,     -0.000296,     -0.481919,  Q345,     L40x4
     106,       8,      49,      0.876216,      0.000296,      0.481919,  Q345,     L40x4
     107,      49,      27,      0.876216,      0.000296,      0.481919,  Q345,     L40x4
     108,      11,      51,     -0.789352,     -0.000000,      0.613941,  Q345,     L40x4
     109,      51,      22,     -0.789352,     -0.000000,      0.613941,  Q345,     L40x4
     110,      11,      50,     -0.789352,     -0.000000,      0.613941,  Q345,     L40x4
     111,      10,      51,      0.789352,      0.000000,     -0.613941,  Q345,     L40x4
     112,      51,      50,      0.789352,      0.000000,     -0.613941,  Q345,     L40x4
     113,      50,       7,      0.627917,      0.003744,      0.778271,  Q345,     L40x4
     114,      26,      52,     -0.627917,     -0.003744,     -0.778271,  Q345,     L40x4
     115,      52,      11,     -0.627917,     -0.003744,     -0.778271,  Q345,     L40x4
     116,       3,      38,     -0.999957,     -0.009245,     -0.000000,  Q345,     L45x4
     117,       4,      53,      0.999957,      0.009245,      0.000000,  Q345,     L45x4
     118,      53,      23,      0.999957,      0.009245,      0.000000,  Q345,     L45x4
     119,       5,      44,     -0.999974,     -0.007173,     -0.000000,  Q345,     L63x5
     120,      44,      25,     -0.999974,     -0.007173,     -0.000000,  Q345,     L63x5
     121,       7,      42,     -0.999982,     -0.005963,     -0.000000,  Q345,     L56x5
     122,      42,      26,     -0.999982,     -0.005963,     -0.000000,  Q345,     L56x5
     123,      11,      54,     -1.000000,     -0.000338,      0.000000,  Q345,     L40x4
     124,      54,      27,     -1.000000,     -0.000338,      0.000000,  Q345,     L40x4
     125,       9,      50,     -1.000000,     -0.000338,      0.000000,  Q345,     L40x4
     126,      50,      22,      0.000000,     -0.998710,      0.050782,  Q345,     L56x5
     127,      26,      50,      0.000000,     -0.998710,      0.050782,  Q345,     L56x5
     128,      27,      50,      0.000000,     -0.998710,      0.050782,  Q345,     L40x4
     129,      37,      61,      0.000000,     -0.998710,      0.050782,  Q345,     L80x6
     130,      61,      27,      0.000000,     -0.998710,      0.050782,  Q345,     L80x6
     131,      26,      37,      0.000000,     -0.998710,      0.050782,  Q345,     L56x5
     132,      25,      37,      0.000000,     -0.998710,      0.050782,  Q345,     L56x5
     133,      40,      55,     -0.000000,      0.998710,     -0.050782,  Q345,     L56x5
     134,      55,      26,     -0.000000,      0.998710,     -0.050782,  Q345,     L56x5
     135,      40,      25,      0.000000,     -0.998710,      0.050782,  Q345,     L56x5
     136,      39,      56,     -0.000000,      0.998710,     -0.050782,  Q345,     L56x5
